"name","symbol","close","var","capmarket","vol"
"Grupo Industrial Saltillo SAB de CV","GISSAA","27.68","0.65%","9.05B","35.39K"
"Cultiba SAB","CULTIBAB","11.65","-1.19%","8.36B","555.00"
"Allianz","ALVN","5.24K","0.09%","8.35B","218.00"
"Concentradora HipotecariaPI","FHIPO14","19.98","0.00%","8.15B","0.00"
"Cydsa A","CYDSASAA","13.49","-0.07%","7.51B","4.73K"
"Internacional  Ceramica B","CERAMICB","45.00","-4.26%","7.11B","2.14K"
"Consorcio Ara","ARA","5.54","-2.11%","6.97B","58.22K"
"Consorcio Aristos","ARISTOSA","13.00","0.00%","6.90B","0.00"
"Holding Monex SAB de CV","MONEXB","12.00","0.00%","6.37B","0.00"
"Vinte Viviendas Integrales","VINTE","28.56","0.21%","6.18B","202.00"
"Proyectos Inmobiliarios Carne Mart","FNOVA17","21.30","3.90%","6.06B","1.14K"
"Proteak Uno SAB de CV","TEAKCPO","5.31","2.71%","5.95B","5.64K"
"Planigrupo Latam","PLANI","17.46","0.00%","5.78B","0.00"
"Farmacias Benavides B","BEVIDESB","14.00","0.00%","5.72B","0.00"
"Actinver B","ACTINVRB","10.50","0.00%","5.67B","0.00"
"Grupo Financiero Multiva","GFMULTIO","8.39","0.00%","5.63B","0.00"
"CIE B","CIEB","9.40","0.00%","5.26B","1.35K"
"Grupo Gicsa SA de CV","GICSAB","3.38","0.59%","5.21B","54.23K"
"Minsa B","MINSAB","12.00","0.00%","4.92B","0.00"
"Pena VerdeB","PV","10.18","0.00%","4.85B","0.00"
"Tv Azteca Cpo","AZTECACPO","0.52","0.39%","4.63B","97.97K"
"Servicios Corporativos Javer","JAVER","16.48","0.00%","4.62B","0.00"
"Vista Oil Gas","VISTAA","53.00","-1.85%","4.60B","402.50K"
"Grupo Gicsa SA de CV","GICSAB","3.04","-1.94%","4.56B","6.53K"
"Concentradora Fibra Hotelera Mexicana","FIHO12","5.72","0.18%","4.48B","57.22K"
"Minera Autlan B","AUTLANB","13.00","0.00%","4.36B","1.85K"
"Medica SUR B","MEDICAB","33.00","0.09%","4.07B","4.78K"
"Aeromexico","AEROMEX","5.69","0.18%","3.88B","247.66K"
"Fibra Plus","FPLUS16","9.40","-0.53%","3.51B","584.00"
"Fibra Shop Portafolios InmobiliariosPI","FSHOP13","7.06","-0.14%","3.51B","21.78K"
"Accel B","ACCELSAB","18.00","0.00%","3.40B","0.00"
"Grupo Hotelero Santa Fe SAB de CV","HOTEL","4.95","0.20%","3.02B","4.92K"
"Credito Real SAPI","CREAL","7.47","-2.99%","2.95B","667.66K"
"Grupo Mexicano de Desarrollo (GMD)","GMD","15.90","0.00%","2.90B","0.00"
"Financiera Independencia","FINDEP","7.50","0.00%","2.53B","0.00"
"Grupe SAB de CV","CIDMEGA","37.35","0.13%","2.45B","300.00"
"Hoteles City Express SAB de CV","HCITY","6.56","1.39%","2.43B","646.83K"
"Grupo Vasconia","VASCONI","26.95","-0.19%","2.35B","5.13K"
"Finamex O","FINAMEXO","35.80","0.00%","2.27B","0.00"
"Hoteles City Express SAB de CV","HCITY","5.80","1.22%","2.15B","110.31K"
"Administradora de Activos Fibra","FINN13","3.57","2.00%","1.76B","9.69K"
"FIBRA HD","FIBRAHD15","3.90","0.00%","1.71B","1.64K"
"Collado SA","COLLADO","7.96","0.00%","1.53B","0.00"
"Almaden Minerals","AAUN","10.30","3.31%","1.51B","83.00"
"Pasa B","PASAB","11.30","7.62%","1.50B","4.18K"
"Air Liquide","AIN","3.40K","0.00%","1.41B","0.00"
"Mexicana Rest B","CMRB","2.05","0.99%","1.12B","1.32K"
"Cadu Inmobiliaria SA de CV","CADUA","3.26","-0.61%","1.11B","67.51K"
"Grupo Radio Centro A","RCENTROA","3.59","0.00%","917.44M","0.00"
"UTStarcom","UTSI","24.85","2.43%","908.78M","26.00"
"Empresas ICA","ICA","1.48","0.00%","898.89M","0.00"
"Pochteca B","POCHTECB","6.09","-0.16%","717.47M","17.57K"
"Grupo Sports","SPORTS","5.56","0.18%","500.93M","69.04K"
"Tmm A","TMMA","3.79","3.55%","387.27M","3.56K"
"Procorp SA B","PROCORPB","7.40","0.00%","370.00M","0.00"
"Diamond Offshore Drilling","DO","20.33","0.00%","354.97M","0.00"
"Convertidora Industrial SAB De CV","CONVERA","3.50","0.00%","280.63M","0.00"
"Grupo Famsa A","GFAMSAA","0.49","-1.01%","269.22M","54.94K"
"Maxcom Telecom","MAXCOMA","0.93","-2.63%","255.74M","760.00"
"Desarrolladora Homex","HOMEX","0.03","0.00%","133.56M","43.50M"
"Goldgroup Mining Inc","GGAN","0.72","-1.37%","121.47M","16.27K"
"Sare Holding B","SAREB","0.01","0.00%","61.31M","0.00"
"Urbi Desarrollos Urbanos","URBI","5.38","-1.09%","60.80M","2.95K"
"Edoardos Martin B","EDOARDOB","0.46","0.00%","48.55M","0.00"
"Himexsa","HIMEXSAA","0.26","0.00%","36.12M","0.00"
"Dinamico De Inversiones Bursatiles","FONIBURB","375.60","0.00%","-","0.00"
"Gbm Fondo Personas Morales Exentas","GBMM3BE","9.86","0.04%","-","0.00"
"Gbm Inversiones Bursatiles Sa De","GBMV1BO","47.75","1.43%","-","0.00"
"Santander De Deuda Prevision Social","STER22B","45.89","0.00%","-","0.00"
"Vector Fondo Md Siid B","VECTMF1","14.83","0.00%","-","0.00"
"Bbva Bancomer Deuda Empresas Sa CV","FPYMEB","24.42","0.00%","-","0.00"
"Interacciones Pm 1 Sa De Cv Siid B","INTERM1B","84.85","0.00%","-","0.00"
"Interacciones 1 Sa De Cv Siid B5","INTERMDB5","4.59","0.00%","-","0.00"
"Valmex Corporativo Sa De Cv B1Nc","VLX16B1NC","48.88","0.00%","-","0.00"
"Upsite Mexico","FIBRAUP18","37.00","0.00%","-","0.00"
"Gafisa ADR","GFAN","89.55","0.00%","-","0.00"
"Dinero Inbursa Sa De Cv B","DINBUR1B","15.49","0.02%","-","0.00"
"Hsbc V3 Sa De Cv Sirv Bfp","HBCBOLBFP","38.32","0.00%","-","0.00"
"Inburex Sa De Cv Siid B","INBUREXB","36.27","0.00%","-","0.00"
"Santander De Deuda Gubernamental Sa","SANTANGM0","1.89","0.00%","-","0.00"
"Valorum Tres Sa De Cv B","VALOR3MB","2.75","0.00%","-","0.00"
"Value Monterrey Sa De Cv Sirv B","VALUEV5B","5.50","-1.60%","-","0.00"
"Nikola","NKLA","266.40","7.65%","-","7.40K"
"Afirplus Sa De Cv Siid B","AFIRPLUB","247.11","0.02%","-","0.00"
"Latin 3 Sa De Cv C","AXESMPF1","2.22","0.00%","-","0.00"
"Bbva Bancomer Indizado Sa Cv P","BMERINDP","96.13","0.40%","-","0.00"
"Valmex De Rendimiento Sa De Cv Sirv","VALMX20B1","9.22","0.00%","-","0.00"
"Afircor Sa De Cv Sirv B","AFIRCORB","318.12","0.50%","-","0.00"
"Latin 5 Sa De Cv B","AXESCPF1","2.20","0.00%","-","0.00"
"Gbm Valores De Deuda Sa De Cv Siid","GBMF3BF","6.86","0.03%","-","0.00"
"Santander Plus De Corto Plazo Sa","STER1PB","137.17","0.00%","-","0.00"
"Jumia Tech","JMIAN","515.67","10.77%","-","107.00"
"Fastly","FSLY","834.95","-1.27%","-","2.26K"
"Peloton Interactive","PTON","1.79K","-3.69%","-","1.54K"
