"name","daily","weekly","monthly","yearly","1_year","3_year"
"IDEAL B1","0","0","0","-2.5","11.43","25.81"
"Peñoles","-0.57","-5.57","-6.39","-14.74","61.83","-30.7"
"Orbia Advance","-0.79","-0.98","0.93","20.58","87.65","-0.83"
"Macy’s Inc","1.54","0.88","7.08","62.31","202.53","-41.45"
"Chemours Co","0","-0.41","13.72","21.54","111.71","-37.08"
"Gerdau ADR","0","-0.29","12.86","37.08","175.02","41.34"
"Axtel Cpo","0.18","1.31","-3.04","-12.84","79.8","25.4"
"Kimberly-Clark de Mexico A","-1.09","0.71","-5.88","4.15","6.69","7"
"Kimberly-Clark de Mexico B","0","0","2.96","2.96","-7.23","-6.59"
"Nomad Foods","0","11.11","11.11","7.45","30.11","133.58"
"TIM Participacoes","0","0","0","0","-4.15","-26.49"
"Meggitt","0","0","0","39.35","60.36","-9.86"
"Sabesp ADR","0","0","0","-36.61","-6.99","5.27"
"Spectris","0","0","0","0","11.93","6.37"
"Virgin Galactic Holdings","23.03","30.94","-2.93","-9.56","20.18",
"Gruma SAB de CV","1.69","-0.85","1.32","-3.76","20.61","3.8"
"MGIC Investment","0","0","0","-1.2","3.34","23.12"
"BlackBerry","-0.56","9.51","-1.23","30.75","64.79","-23.94"
"Fibra Uno Administracion SA de CV","0.89","-1.33","3.36","5.16","-20.04","-11.37"
"China Biologic","0","0","0","0","0","0"
"Goodyear Tire & Rubber Co","0","3.29","10.09","87.35","134.68","-24.45"
"Telesites SAB de CV","-0.37","0.32","-6.4","-13.01","29.37","28.84"
"KB Home","0","0","10.49","54.32","49.32","87.57"
"Braskem A","-4.08","-14.45","75.42","123.94","95.38","-25.21"
"Turkcell Iletisim Hizmetleri","0","0","0","6.48","-1.47",
"BRF ADR","0","0","-19.19","-9.25","-16.67","-41.66"
"Elis Services SA","0","0","0","7.1","51.32","-31.21"
"Companhia Brasileira de Distribuicao","-2.34","-4.99","-3.48","-49.2","-68.5","-69.88"
"Ultrapar Participacoes","0","0","0","0","0","-20.81"
"Acerinox","0","1.17","1.17","1.17","1.17","-41.5"
"Whirlpool","0","0","6.04","34.31","75.53","58.91"
"Range Resources","0","0","0","0","0","-54.4"
"Cie Automotive SA","0","0","0","7.03","52.06","-23.15"
"CEMIG Pref ADR","0","-1.25","0","-17.98","-31.82","11.11"
"Fonciere Lyonnais","0","-22.09","0","0","0","0"
"Alfa A","0.58","0.79","0.5","-2.64","19.86","-34.52"
"Simec B","0","2.92","44.05","75.46","183.02","120.48"
"COPEL Pref ADR","0","-80","-82.29","-80.43","-80.43","-83.6"
"Swatch Group","0","0","0","22.68","40.15","-37.74"
"3D Systems","9.33","23.06","22.45","168.05","205.93","105.11"
"Kansas City Southern","0","0","0","41.36","64.63","167.46"
"PINFRA","1.05","-1.73","-0.12","-12.38","-19.91","-20.73"
"Viscofan","0","0","0","0","66.68","15.89"
"Pfizer","0.12","0.05","3.84","8.88","-5.76","13.86"
"Ternium ADR","2.9","-2.12","-0.36","32.6","139.33","-0.01"
"Baozun Inc","0","19.06","-0.14","1.92","4.13","-27.59"
"Trinity Industries","0","1.6","1.6","3.19","28.25","-21.24"
"Industrias Ch B","0.08","0.98","7.67","47.63","81.42","55.25"
"Buenaventura Mining ADR","0","0","0","-22.27","22.63","-16.92"
"Mednax","0","0","0","19.09","162.2","-46.73"
"Moctezuma","0.02","-0.75","-2.04","4.36","16.83","-14.55"
"SINA Corp","0","0","0","9.14","5.99","-49.97"
"Bed Bath&Beyond","1.05","1.05","-10.07","25.59","216.72","32.51"
